X,Y,F
-0.1,0.4,-7.04626
0.727987,-0.166439,0.327104
-0.456892,0.337722,-2.24859
0.765604,-0.495837,2.98038
-0.3358,-0.125301,-7.57208
0.359735,-0.429394,-4.35889
-0.775659,-0.096707,-0.93683
0.40619,-0.629178,-2.65238
-0.847974,-0.324589,-1.27001
0.330545,-0.750904,-3.52135
-0.915102,-0.500191,-1.12542
0.26924,-0.863463,-4.2424
-0.96433,-0.659869,-1.06226
0.233977,-0.976762,-4.56576
-1.01082,-0.808326,-0.892159
0.205758,-1.08782,-4.82828
-1.05645,-0.949989,-0.62455
0.181041,-1.19671,-5.08491
-1.10134,-1.08674,-0.276103
0.158333,-1.30308,-5.35703
-1.14515,-1.21908,0.137705
0.136767,-1.40628,-5.65613
-1.18722,-1.34688,0.598669
0.116168,-1.50573,-5.98083
-1.22708,-1.46971,1.09199
0.0964242,-1.60087,-6.32839
-1.26423,-1.58714,1.60188
0.0778673,-1.69142,-6.68708
-1.29871,-1.69874,2.12151
0.0601052,-1.777,-7.05931
-1.32993,-1.80435,2.63145
0.0445602,-1.85792,-7.41175
-1.35961,-1.90353,3.15812
0.0268353,-1.9329,-7.82691
-1.38197,-1.99743,3.57797
0.0236388,-2.00673,-7.96555
-1.42138,-2.08153,4.37094
-0.0375242,-2.06004,-9.24973
-1.36055,-2.17695,3.0986
0.196589,-2.1886,-3.92816
-1.65624,-2.17274,8.28739
-0.823401,-2.00049,-8.7433
0.474326,-2.28142,3.80584
-1.39086,-2.09829,3.75515
0.0624401,-2.09515,-7.21175
-1.52104,-2.15605,6.27866
-0.317792,-2.06533,-12.7946
-0.708421,-2.31885,-12.0739
0.335032,-2.64843,0.453234
-1.889,-2.55913,11.4934
-1.66914,-2.23374,8.59643
